Shop ID;Prod ID;In pieces;In liters;In boxes;1-in pieces, 0-in boxes
130008;1626800062;10;14;1;0
130008;1658500104;16;90,72;2;0
130008;1658500136;6;18,84;1;0
130008;1685600006;12;67,8;1;0
130008;1699100070;20;3;1;0
130008;1699100071;20;3,2;1;0
130008;1699101172;18;24,12;1;0
130008;1699101336;5;6,25;1;0
130008;1699919510;20;10;1;0
130008;1699920201;38;8,74;2;0
130008;1699920481;4;7,68;1;0
130008;1728400015;24;38,4;1;0
130008;1830800048;6;4,26;1;0
130008;1899900317;12;14,28;1;0
130008;1899900811;10;22,8;1;0
130008;1899910180;12;14,28;1;0
130008;1899912155;18;4,32;1;0
130008;1963100001;48;10,56;2;0
130008;1963100003;48;10,56;2;0
130008;2005960047;20;20,2;1;0
130008;2009990169;24;1,44;1;0
130008;2123200107;27;1,62;1;0
130008;2127200012;30;9,6;1;0
130008;2142500005;15;19,5;1;0
130008;2174000001;24;6,72;1;0
130008;2199910300;24;17,04;1;0
130008;2199910314;20;43,6;1;0
130008;2400001004;48;41,28;1;0
130008;2400001913;6;15,72;1;0
130008;2400007539;24;5,28;1;0
130008;3060810713;48;21,12;1;0
130008;3072460804;15;18,15;1;0
130008;3074100025;24;38,88;1;0
130008;3117800004;20;3,6;1;0
130008;3125780002;35;7,35;1;0
130008;3133780401;30;45,3;3;0
130008;3139480006;6;8,34;1;0
130008;3152461701;3;28,56;1;0
130008;3274330001;6;16,02;1;0
130008;3284010204;10;10,8;1;0
130008;5011199921;80;43,2;2;0
130008;5011656709;60;54,6;1;0
130008;9812460024;6;15;1;0
130008;9812460052;12;12,96;1;0
130008;9819310009;6;16,32;1;0
130008;9820614701;6;16,5;1;0
130008;9825000026;6;19,8;1;0
130008;9899996503;12;33,72;2;0
130008;9899996637;6;12,66;1;0
130008;9899996638;12;26,16;2;0
130008;9919990071;10;10,8;1;0
130008;9932320006;240;12;1;0
130010;1000001232;20;2,6;1;0
130010;1000001583;18;82,44;1;0
130010;1000001784;28;26,88;1;0
130010;1000014529;12;5,64;1;0
130010;1000015589;48;0,96;1;0
130010;1000023340;12;20,52;1;0
130010;1000023877;20;17,6;1;0
130010;1000023973;6;15,3;1;0
130010;1000025228;20;21,8;1;0
130010;1000027174;12;9,12;1;0
130010;1000028870;18;23,04;1;0
130010;1000030623;25;31,25;1;0
130010;1000037266;18;33,84;2;0
130010;1000039517;30;27;1;0
130010;1000048881;72;45,36;1;0
130010;1000049739;32;7,68;1;0
130010;1000050529;10;15,3;1;0
130010;1000060054;15;42,45;1;0
130010;1000060056;15;25,2;1;0
130010;1000061348;12;9,48;1;0
130010;1000071213;21;21,42;1;0
130010;1000073063;12;15,12;1;0
130010;1000075066;6;17,16;1;0
130010;1000080730;12;11,04;1;0
130010;1000083781;6;23,28;1;0
130010;1000084297;15;25,8;1;0
130010;1000091561;10;12,6;1;0
130010;1000091819;24;24;1;0
130010;1000093763;15;6,9;1;0
130010;1000097533;18;25,02;2;0
130010;1000100555;30;30,3;1;0
130010;1000111365;15;38,85;1;0
130010;1000113006;12;13,92;1;0
130010;1000113539;24;6,48;1;0
130010;1000115156;24;41,52;1;0
130010;1000115449;30;13,2;1;0
130010;1000115450;40;21,2;1;0
130010;1000116220;15;41,7;1;0
130010;1000126377;28;22,96;1;0
130010;1000132861;12;8,4;1;0
130010;1000134937;80;176,8;2;0
130010;1009991438;8;9,04;1;0
